,year,rf_rmsle,lgbm_rmsle,linear_rmsle
0,1992,4.3994735820007585e-05,3.5450068535444065e-05,4.7544364793775954e-05
1,1993,8.283581646043827e-05,6.161217400600419e-05,7.214339853483239e-05
2,1994,7.643474697100426e-05,5.814238010489868e-05,4.4623458487206964e-05
3,1995,5.1346087522695606e-05,4.934801090755643e-05,3.594479607552432e-05
4,1996,4.5380925935049475e-05,4.1080354969021624e-05,3.8958497058173344e-05
5,1997,0.0002725563993495063,0.0002720497375316374,0.00027269933394406744
6,1998,0.00011374960443720749,7.038124868500354e-05,7.732133406023949e-05
7,1999,6.286843025753867e-05,4.1029607197560464e-05,4.92274530938125e-05
8,2000,3.217031114047557e-05,2.235068108799477e-05,2.5298386446082485e-05
